Timestamp,What is your gender?,How old are you?,Approximately how much do you weigh?,Which best describes your drinking habits?,"On average, how many days per week do/did you drink any amount of alcohol?","On the days that you do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) do you have?",Do you have a biological parent that currently drinks or previously drank regularly or occasionally?,"On average, how many days per week did/does your biological mother drink?","On the days that she did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does she have?","On average, how many days per week did/does your biological father drink?","On the days that he did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does he have?",How many biological full siblings do you have? Enter your response as a number and not as a word.,Do you have any biological full sibling(s) that currently drinks or previously drank regularly or occasionally?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have a biological grandparent that currently drinks or previously drank regularly or occasionally?,"On average, how many days per week did/does your grandparent drink?","On the days that they did/do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/do they have?",Do you have another grandparent who drinks/drank?,"On average, how many days per week did/does your grandparent drink?","On the days that they did/do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/do they have?",Do you have another grandparent who drinks/drank?,"On average, how many days per week did/does your grandparent drink?","On the days that they did/do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/do they have?",Do you have another grandparent who drinks/drank?,"On average, how many days per week did/does your grandparent drink?","On the days that they did/do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/do they have?"
11/19/2020 10:14:55,Male,18-25,140 - 159lbs,Never drank or only drank on rare occasions,,,No,,,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2-4,Unsure,,,,,,,,
11/19/2020 10:16:40,Male,18-25,240+,Never drank or only drank on rare occasions,,,Yes,0,0,4,2-4,3,Yes,4,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 10:24:11,Non-binary,18-25,160 - 179 lbs,Never drank or only drank on rare occasions,,,Yes,1,1 or less than 1,1,1 or less than 1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,2-4,Unsure,,,,,,,,
11/19/2020 10:25:27,Female,18-25,120 - 139lbs,Currently drink regularly or occasionally,5,5-7,Yes,3,2-4,3,2-4,2,Yes,3,2-4,Yes,3,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1 or less than 1,No,,,,,,,,
11/19/2020 10:27:09,Female,18-25,140 - 159lbs,Currently drink regularly or occasionally,5,2-4,Yes,7,2-4,1,1 or less than 1,1,Yes,2,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 10:27:22,Female,18-25,140 - 159lbs,Currently drink regularly or occasionally,6,2-4,Yes,0,0,7,2-4,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,1 or less than 1,Yes,4,1 or less than 1,No,,,,,
11/19/2020 10:27:31,Female,26-35,90 - 119lbs,Currently drink regularly or occasionally,2,2-4,No,,,,,1,Yes,3,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 10:30:11,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,2-4,Yes,0,0,0,2-4,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 10:30:57,Female,26-35,120 - 139lbs,Currently drink regularly or occasionally,6,2-4,Yes,6,2-4,7,5-7,3,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,2-4,Unsure,,,,,,,,
11/19/2020 10:32:31,Female,18-25,120 - 139lbs,Currently drink regularly or occasionally,3,8-10,Yes,2,1 or less than 1,2,1 or less than 1,1,Yes,3,5-7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1 or less than 1,Yes,2,1 or less than 1,No,,,,,
11/19/2020 10:37:11,Female,18-25,140 - 159lbs,Currently drink regularly or occasionally,1,1 or less than 1,Yes,1,2-4,2,2-4,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1 or less than 1,Yes,2,1 or less than 1,Yes,1,1 or less than 1,No,,
11/19/2020 10:37:32,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,2,8-10,No,,,,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 10:45:54,Male,18-25,160 - 179 lbs,"Previously drank regularly or occasionally, but no longer drink",0,2-4,Yes,1,1 or less than 1,2,2-4,1,Yes,3,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,0,No,,,,,,,,
11/19/2020 10:53:17,Female,18-25,90 - 119lbs,Currently drink regularly or occasionally,1,2-4,Yes,0,0,1,1 or less than 1,1,Yes,1,1 or less than 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 10:55:57,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,1 or less than 1,Yes,1,1 or less than 1,7,2-4,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,2-4,No,,,,,,,,
11/19/2020 10:59:42,Female,18-25,,Currently drink regularly or occasionally,1,5-7,No,,,,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 11:06:15,Female,18-25,200 - 219lbs,"Previously drank regularly or occasionally, but no longer drink",0,2-4,No,,,,,2,Yes,3,5-7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,2-4,No,,,,,,,,
11/19/2020 11:18:58,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,2,8-10,No,,,,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 11:24:03,Female,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,2-4,Yes,1,2-4,4,5-7,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 11:28:58,Male,18-25,160 - 179 lbs,Never drank or only drank on rare occasions,,,Yes,0,0,5,2-4,4,Yes,2,2-4,Yes,2,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,7,5-7,No,,,,,,,,
11/19/2020 11:38:19,Male,18-25,160 - 179 lbs,"Previously drank regularly or occasionally, but no longer drink",1,1 or less than 1,Yes,0,0,3,2-4,3,Yes,3,2-4,Yes,2,2-4,Yes,2,2-4,No,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 11:42:58,Female,18-25,120 - 139lbs,Currently drink regularly or occasionally,4,5-7,Yes,0,1 or less than 1,2,2-4,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,5-7,Yes,4,2-4,Yes,2,2-4,No,,
11/19/2020 11:52:26,Male,18-25,200 - 219lbs,Currently drink regularly or occasionally,2,2-4,Yes,4,2-4,4,2-4,2,Yes,2,1 or less than 1,Yes,3,1 or less than 1,No,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 12:00:40,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,2-4,Yes,3,1 or less than 1,3,1 or less than 1,1,Yes,2,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 12:10:04,Fluid,18-25,120 - 139lbs,Never drank or only drank on rare occasions,,,Yes,1,1 or less than 1,4,1 or less than 1,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 12:13:18,Male,18-25,120 - 139lbs,"Previously drank regularly or occasionally, but no longer drink",4,5-7,No,,,,,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,7,11+,Yes,5,5-7,No,,,,,
11/19/2020 12:47:54,Sex = Female,18-25,120 - 139lbs,Never drank or only drank on rare occasions,,,Yes,0,1 or less than 1,4,1 or less than 1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2-4,Yes,3,1 or less than 1,Yes,1,1 or less than 1,Unsure,,
11/19/2020 12:51:15,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,2-4,Yes,2,1 or less than 1,0,0,1,Yes,2,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,7,5-7,No,,,,,,,,
11/19/2020 13:08:55,Male,18-25,240+,Currently drink regularly or occasionally,4,2-4,Yes,0,0,7,2-4,1,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,7,5-7,Yes,7,2-4,Unsure,,,,,
11/19/2020 13:14:16,Male,18-25,140 - 159lbs,Currently drink regularly or occasionally,5,2-4,No,,,,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,2-4,No,,,,,,,,
11/19/2020 13:27:21,Female,18-25,200 - 219lbs,"Previously drank regularly or occasionally, but no longer drink",0,2-4,No,,,,,2,Yes,3,5-7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,2-4,No,,,,,,,,
11/19/2020 13:32:20,Non-Binary,26-35,160 - 179 lbs,"Previously drank regularly or occasionally, but no longer drink",3,5-7,Yes,5,2-4,0,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1 or less than 1,No,,,,,,,,
11/19/2020 13:36:08,Female,18-25,120 - 139lbs,Never drank or only drank on rare occasions,,,Yes,1,1 or less than 1,0,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 13:55:36,Female,18-25,140 - 159lbs,Never drank or only drank on rare occasions,,,No,,,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,2-4,Yes,3,2-4,No,,,,,
11/19/2020 15:02:13,Male,18-25,120 - 139lbs,Currently drink regularly or occasionally,2,2-4,Yes,4,2-4,1,2-4,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,2-4,Yes,4,2-4,No,,,,,
11/19/2020 15:30:10,Female,18-25,90 - 119lbs,Currently drink regularly or occasionally,2,1 or less than 1,Yes,1,1 or less than 1,2,2-4,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2-4,Yes,2,2-4,No,,,,,
11/19/2020 16:43:12,Female,18-25,220-239,Currently drink regularly or occasionally,2,2-4,Yes,1,1 or less than 1,1,1 or less than 1,1,Yes,4,8-10,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2-4,Unsure,,,,,,,,
11/19/2020 16:45:53,Female,18-25,160 - 179 lbs,Currently drink regularly or occasionally,5,2-4,Yes,0,1 or less than 1,4,2-4,1,Yes,2,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,5-7,Unsure,,,,,,,,
11/19/2020 16:52:16,Female,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,5-7,No,,,,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,8-10,No,,,,,,,,
11/19/2020 16:53:21,Female,18-25,180 - 199 lbs,Never drank or only drank on rare occasions,,,Yes,2,1 or less than 1,1,1 or less than 1,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,2-4,Yes,1,1 or less than 1,Yes,1,1 or less than 1,No,,
11/19/2020 17:04:45,Male,26-35,160 - 179 lbs,Currently drink regularly or occasionally,5,2-4,Yes,4,2-4,5,2-4,1,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,2-4,Yes,4,1 or less than 1,Yes,3,1 or less than 1,Unsure,,
11/19/2020 17:07:28,Female,18-25,140 - 159lbs,Never drank or only drank on rare occasions,,,Yes,3,1 or less than 1,2,1 or less than 1,1,Yes,4,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 17:39:30,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,5-7,Yes,1,1 or less than 1,0,0,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,8-10,Unsure,,,,,,,,
11/19/2020 18:28:17,Female,18-25,140 - 159lbs,Currently drink regularly or occasionally,1,2-4,Yes,2,5-7,5,5-7,2,Yes,3,5-7,Yes,2,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1 or less than 1,Unsure,,,,,,,,
11/19/2020 21:23:47,Male,26-35,160 - 179 lbs,Currently drink regularly or occasionally,5,2-4,Yes,4,2-4,5,2-4,1,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,2-4,Yes,4,1 or less than 1,Yes,3,1 or less than 1,Unsure,,
11/19/2020 21:42:15,Female,18-25,120 - 139lbs,Currently drink regularly or occasionally,4,1 or less than 1,Yes,0,0,3,2-4,3,Yes,5,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,4,1 or less than 1,No,,,,,,,,
11/19/2020 22:54:26,Male,18-25,140 - 159lbs,Currently drink regularly or occasionally,1,5-7,Yes,0,0,2,1 or less than 1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,2-4,No,,,,,,,,
11/19/2020 22:54:32,Female,26-35,90 - 119lbs,Currently drink regularly or occasionally,2,2-4,No,,,,,1,Yes,3,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/20/2020 10:15:19,Female,18-25,140 - 159lbs,Never drank or only drank on rare occasions,,,Yes,0,1 or less than 1,3,1 or less than 1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,1 or less than 1,No,,,,,,,,
11/20/2020 12:26:34,Female,18-25,160 - 179 lbs,Currently drink regularly or occasionally,2,2-4,Yes,5,2-4,7,2-4,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,2-4,Yes,1,2-4,Yes,4,2-4,Yes,6,1 or less than 1
11/20/2020 13:00:32,Male,18-25,180 - 199 lbs,Currently drink regularly or occasionally,4,2-4,Yes,3,2-4,0,0,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/20/2020 13:14:26,Female,18-25,120 - 139lbs,Currently drink regularly or occasionally,5,5-7,Yes,4,1 or less than 1,0,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,1 or less than 1,No,,,,,,,,
11/20/2020 13:51:33,Female,18-25,120 - 139lbs,Never drank or only drank on rare occasions,,,Yes,1,1 or less than 1,1,2-4,1,Yes,7,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1,1 or less than 1,Yes,1,1 or less than 1,No,,,,,