weight,survive_died
289.7,1
292.3,1
257.8,1
290.5,1
247.2,1
248.6,1
260.1,1
225.5,1
261.9,1
204.2,1
304.3,1
264.9,1
279.9,1
224.9,1
280.4,1
322,1
273.2,1
297.9,1
223.9,1
299.1,1
313,1
193.3,1
235.4,1
313,1
256.3,1
331,1
266.3,1
226.1,1
261.9,1
326.6,1
258.4,1
319,1
283.3,1
315.3,1
259.2,1
208.9,1
270.6,1
307.2,1
307.5,1
211.5,1
256.4,1
233.9,1
277.9,1
279.2,1
279.1,1
196.7,1
292.6,1
255,1
178.1,1
134.1,1
135.7,1
135.8,1
116.4,1
143.6,1
135.8,1
110.4,1
122.9,1
120.3,1
124.7,1
105.6,1
119.3,1
163.2,1
96.6,1
116.6,1
118.8,1
162.8,1
126.2,1
152.6,1
130.1,1
170.8,0
215.5,0
162.3,0
219.7,0
217.5,0
264.1,0
160.3,0
213.2,0
136.1,0
248.7,0
199.7,0
251.7,0
219.7,0
202,0
168.2,0
138.5,0
217.7,0
187.5,0
175.6,0
257,0
156.7,0
196.3,0
246.5,0
233.3,0
202.7,0
270.6,0
218.1,0
183,0
164.2,0
104.7,0
157,0
213.4,0
138.4,0
155.6,0
259.4,0
163.1,0
313.9,0
253.6,0
210,0
231.1,0
204.8,0
194.7,0
207.8,0
234.1,0
281.6,0
278.3,0
144.4,0
208.8,0
239.5,0
242.7,0
191.9,0
196.9,0
172,0
151.4,0
276.6,0
245.4,0
205.2,0
148.1,0
289,0
187.8,0
204.6,0
221.6,0
160.8,0
158.8,0
231.5,0
285.8,0
224.5,0
158.3,0
179.2,0
169.5,0
317,0
198.8,0
229.5,0
271.8,0
178.8,0
228.9,0
226.7,0
233.2,0
211.8,0
267.3,0
174.5,0
256.2,0
189.8,0
138.2,0
212.7,0
197.5,0
230.9,0
232.8,0
160,0
273.9,0
210.6,0
164.5,0
234.1,0
150.1,0
188.6,0
226.3,0
252.6,0
248.4,0
207.8,0
190.4,0
242.6,0
214.6,0
221.7,0
200.4,0
192.4,0
229.2,0
283.9,0
234.2,0
174.7,0
210.3,0
228.1,0
184.3,0
192.2,0
139.5,0
179.9,0
169.1,0
211.7,0
231.8,0
214.1,0
247,0
158.7,0
189.3,0
204.3,0
191.9,0
194.7,0
222,0
236.7,0
154.9,0
219.8,0
201.3,0
178.2,0
107.6,0
106.9,0
113.2,0
130.1,0
108.2,0
127.5,0
128.6,0
106.8,0
96.4,0
96,0
111.1,0
145.4,0
105.3,0
99.3,0
129,0
116.2,0
140.4,0
111.7,0
147.6,0
101.5,0
121.1,0
128.6,0
109.5,0
113.5,0
95.2,0
74.7,0
135.2,0
92.8,0
106.7,0
127.1,0
109.2,0
122.5,0
114.2,0
67.3,0
63.3,0
84.3,0
117.6,0
82.3,0
112.1,0
107.4,0
152.8,0
61.3,0
117.7,0
97.1,0
62.4,0
128.8,0
116.7,0
148.8,0
140.6,0
143.1,0
151.5,0
149.1,0
103.9,0
114.4,0
99.8,0
130.3,0
111.7,0
167.6,0
88.7,0
131.2,0
121.2,0
132.8,0
85.9,0
99.9,0
88.4,0
104.6,0
143.8,0
131.1,0
84.2,0
137.8,0
97.6,0
122.4,0
124,0
100.2,0
116.8,0
84.3,0
59.6,0
89.5,0
102.2,0
124.6,0
127.8,0
138.6,0
142.3,0
103.9,0
127.3,0
103,0
113.1,0
79.3,0
68.1,0
110.3,0
96.7,0
130.2,0
120.5,0
147.2,0
123.3,0
128.3,0
100.2,0
173.7,0
83.4,0
138,0
151.4,0
127.9,0
101.6,0
60.6,0
105.2,0
98.2,0
128.4,0
111.3,0
103.6,0
107.9,0
121.3,0
78.1,0
109.7,0
99.6,0
114.9,0
91.6,0
115.8,0
137.1,0
140.6,0
97.2,0
117.9,0